MUN,ZONA,SECAO,LOCAL,URNA,SERIEFC,DHCARGA,CODCARGA,DHABERTURA,DHENCERRAMENTO,ELAPTOS,ELCOMPARECIMENTO,BOULOS,MARCAL,NUNES,TABATA
71072,376,692,2658,2074254,C20B1C66,20240927T102500,886930272472088194315929,20241006T080001,20241006T170319,384,274,115,54,46,18
71072,381,677,1406,2077798,40E38F49,20240928T154500,169710969493188933800875,20241006T080001,20241006T171128,393,298,123,47,76,18
71072,381,704,1422,2080597,EA4B2671,20240928T174800,644558716703092874047198,20241006T080001,20241006T170440,351,299,216,20,31,5
71072,389,199,1210,2078952,B67C7499,20240926T111800,816263528408155616230266,20241006T080001,20241006T170247,381,299,122,49,75,15
71072,389,393,1686,2078607,886FE988,20240926T093200,129394358428038075330800,20241006T080125,20241006T170644,364,266,109,56,56,12
71072,389,486,1708,1816695,4ADE8CBC,20240926T100700,947576521058017062637587,20241006T080001,20241006T170640,391,283,120,54,63,6
71072,403,307,1279,2276272,AC7B8BC9,20240927T133300,674836713917154330605534,20241006T085619,20241006T170215,390,282,113,64,60,19
71072,403,450,1600,2084567,A1FFF3E4,20240930T103400,402109114675108428054053,20241006T080001,20241006T170209,356,268,108,49,65,16
71072,404,141,1180,2075249,9AB90125,20240929T103100,947574427333136470410845,20241006T080001,20241006T170225,368,249,109,45,59,14
71072,404,386,1112,2095447,9AB90125,20240928T172800,321312812971596125422118,20241006T080001,20241006T170435,330,243,98,59,45,16
71072,404,555,1546,2275140,F4FC499A,20240928T161400,563736916182355687080179,20241006T080001,20241006T171429,398,286,115,62,60,14
71072,404,559,1520,1820387,55273BBB,20240926T095600,008180795915374634167102,20241006T080014,20241006T170150,365,265,112,45,44,28
71072,404,560,1546,2259907,F4FC499A,20240928T163400,765756637002731587576308,20241006T080001,20241006T170301,428,327,136,74,65,22
71072,404,565,1368,2397316,F4FC499A,20240928T151400,159695570241831202999030,20241006T080001,20241006T170404,69,61,29,13,7,5
71072,408,351,1333,2086272,5D67D979,20240930T104700,654689383494650832300962,20241006T080001,20241006T170409,364,255,107,38,54,27
71072,408,450,1449,2082975,FEA649A0,20240930T160100,361760074572243001831912,20241006T080001,20241006T170344,488,343,138,63,49,53
71072,421,391,1260,2122608,945C25AA,20240926T104400,614222624016835430456777,20241006T080001,20241006T170422,374,271,114,51,39,14
71072,421,678,1066,1830957,1A33CA47,20240925T091300,058666968445761306614669,20241006T080001,20241006T170541,206,157,65,27,32,11
71072,5,171,1350,2304724,536BC1E3,20240929T140300,977852667938474341970438,20241006T080001,20241006T171218,370,231,93,38,55,32
71072,5,175,1350,2315231,536BC1E3,20240929T142200,159670286656766004832398,20241006T080001,20241006T171258,373,234,98,32,57,28
71072,5,179,1350,2050345,536BC1E3,20240929T144200,139468709654926763468418,20241006T080001,20241006T171433,373,233,101,48,46,24
71072,5,185,1350,2047251,536BC1E3,20240929T151300,897044099230596916399554,20241006T080001,20241006T170451,369,242,97,44,47,36
71072,5,191,1139,2050626,8A62B12C,20240929T112900,806135637158574140105056,20241006T080001,20241006T170503,349,246,109,39,60,27
71072,5,193,1139,2010816,8A62B12C,20240929T114600,493004549927230098012367,20241006T080001,20241006T170543,351,195,83,22,50,25
71072,5,195,1139,2050258,8A62B12C,20240929T115500,351690624913110744799637,20241006T080001,20241006T170547,352,224,104,26,57,27
